BAT-001|USR-001|2026-04-10T12:28:00|2150.00|2
BAT-002|USR-002|2026-04-13T17:58:00|650.00|1
BAT-003|USR-003|2026-04-15T18:30:00|2840.00|2
BAT-004|USR-004|2026-04-16T11:45:00|1560.00|1
BAT-005|USR-005|2026-04-17T19:15:00|3290.00|3
BAT-006|USR-006|2026-04-18T12:00:00|980.00|1
BAT-007|USR-007|2026-05-01T13:20:00|2450.00|2
BAT-008|USR-008|2026-05-02T18:45:00|1850.00|1
BAT-009|USR-009|2026-05-03T19:30:00|2680.00|2
BAT-010|USR-010|2026-05-04T11:00:00|3200.00|2
BAT-011|USR-001|2026-05-05T14:30:00|1420.00|1
BAT-012|USR-002|2026-05-06T12:15:00|2790.00|2
